audit_id,episode_id,variant,task_name,event_index,step,memory_id,memory_type,route,status,score,reliability,cited,task_goal,content,decision_summary,action,source_screenshot,current_screenshot,relevant_label,route_appropriate_label,fact_supported_label,useful_label,harmful_label,utility_label,review_notes
R001,method_dev_g6_g7_v15_20260724_13_M0_MarkorAddNoteHeader_seed20260730_a1,M0,MarkorAddNoteHeader,36,9,f_0008,failure,ALERT,observed,0.73289713,0.82950444,True,"Update the Markor note proud_mouse_2023_10_01.md by adding the following text, along with a new blank line before the existing content: ""KDwVpswoRpRDyzZy2EOc"", and rename it to copy_sharp_jelly.txt.",Repeated action produced no visible change; avoid the same action on this page and re-observe or recover.,Tap outside the menu to close the file settings overlay and return to the editor.,"{""type"": ""tap"", ""x"": 0.25, ""y"": 0.15}",D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\13_M0_MarkorAddNoteHeader_seed20260730\step_008_after.png,D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\13_M0_MarkorAddNoteHeader_seed20260730\step_009_before.png,yes,yes,,yes,no,yes,Repeated unchanged overlay supports the loop alert and a different recovery action.
R002,method_dev_g6_g7_v15_20260724_09_M0_MarkorCreateNote_seed20260726_a1,M0,MarkorCreateNote,44,10,f_0011,failure,ALERT,observed,0.7295205,0.82950444,False,Create a new note in Markor named gentle_bear_copy.md with the following text: A quick brown fox.,Repeated action produced no visible change; avoid the same action on this page and re-observe or recover.,Tap the save icon to persist the note with current filename and content.,"{""type"": ""tap"", ""x"": 0.75, ""y"": 0.085}",D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\09_M0_MarkorCreateNote_seed20260726\step_009_after.png,D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\09_M0_MarkorCreateNote_seed20260726\step_010_before.png,yes,yes,,yes,no,yes,Near-identical editor states make the repeated-save warning pertinent.
R003,method_dev_g6_g7_v15_20260724_12_M0_ExpenseDeleteSingle_seed20260729_a1,M0,ExpenseDeleteSingle,21,6,f_0006,failure,ALERT,observed,0.73121363,0.82950444,False,Delete the following expenses from pro expense: Educational.,Repeated action produced no visible change; avoid the same action on this page and re-observe or recover.,Tap the menu icon to access the expense list and verify deletion of the 'Educational' expense.,"{""type"": ""tap"", ""x"": 0.7, ""y"": 0.18}",D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\12_M0_ExpenseDeleteSingle_seed20260729\step_005_after.png,D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\12_M0_ExpenseDeleteSingle_seed20260729\step_006_before.png,yes,yes,,yes,no,yes,Identical expense-home states support changing away from the repeated action.
R004,method_dev_g6_g7_v15_20260724_09_M0_MarkorCreateNote_seed20260726_a1,M0,MarkorCreateNote,42,10,f_0011,failure,ALERT,observed,0.7295205,0.82950444,False,Create a new note in Markor named gentle_bear_copy.md with the following text: A quick brown fox.,Repeated action produced no visible change; avoid the same action on this page and re-observe or recover.,Tap the save icon to persist the note with current filename and content.,"{""type"": ""tap"", ""x"": 0.75, ""y"": 0.085}",D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\09_M0_MarkorCreateNote_seed20260726\step_009_after.png,D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\09_M0_MarkorCreateNote_seed20260726\step_010_before.png,yes,yes,,yes,no,yes,The unchanged note editor supports the no-visible-change alert.
R005,method_dev_g6_g7_v15_20260724_13_M0_MarkorAddNoteHeader_seed20260730_a1,M0,MarkorAddNoteHeader,34,9,f_0008,failure,ALERT,observed,0.73289713,0.82950444,True,"Update the Markor note proud_mouse_2023_10_01.md by adding the following text, along with a new blank line before the existing content: ""KDwVpswoRpRDyzZy2EOc"", and rename it to copy_sharp_jelly.txt.",Repeated action produced no visible change; avoid the same action on this page and re-observe or recover.,Tap outside the menu to close the file settings overlay and return to the editor.,"{""type"": ""tap"", ""x"": 0.25, ""y"": 0.15}",D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\13_M0_MarkorAddNoteHeader_seed20260730\step_008_after.png,D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\13_M0_MarkorAddNoteHeader_seed20260730\step_009_before.png,yes,yes,,yes,no,yes,The unchanged file-settings overlay supports closing it rather than repeating the action.
R006,method_dev_g6_g7_v15_20260724_12_M0_ExpenseDeleteSingle_seed20260729_a1,M0,ExpenseDeleteSingle,9,4,m_0003,episodic_fact,FACT,observed,0.70867212,0.75262294,False,Delete the following expenses from pro expense: Educational.,The confirmation dialog for deleting the item is active.,Wait for the app to reflect the deletion after confirming the action.,"{""duration_ms"": 1000, ""type"": ""wait""}",D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\12_M0_ExpenseDeleteSingle_seed20260729\step_003_before.png,D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\12_M0_ExpenseDeleteSingle_seed20260729\step_004_before.png,yes,no,yes,no,yes,no,"The source supports an active confirmation dialog, but the current screenshot shows it gone with an Item Deleted toast; treating it as a current FACT could prompt an invalid repeat confirmation."
R007,method_dev_g6_g7_v15_20260724_12_M0_ExpenseDeleteSingle_seed20260729_a1,M0,ExpenseDeleteSingle,20,6,m_0005,episodic_fact,FACT,observed,0.73617212,0.75262294,True,Delete the following expenses from pro expense: Educational.,The Home screen of the Pro Expense app is visible with totals and weekly expenses.,Tap the menu icon to access the expense list and verify deletion of the 'Educational' expense.,"{""type"": ""tap"", ""x"": 0.7, ""y"": 0.18}",D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\12_M0_ExpenseDeleteSingle_seed20260729\step_005_before.png,D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\12_M0_ExpenseDeleteSingle_seed20260729\step_006_before.png,yes,yes,yes,yes,no,yes,The Pro Expense home view is visible and supports opening the list to verify deletion.
R008,method_dev_g6_g7_v15_20260724_09_M0_MarkorCreateNote_seed20260726_a1,M0,MarkorCreateNote,41,10,m_0010,episodic_fact,FACT,observed,0.7739499,0.75262294,True,Create a new note in Markor named gentle_bear_copy.md with the following text: A quick brown fox.,The note contains the text 'A quick brown fox'.,Tap the save icon to persist the note with current filename and content.,"{""type"": ""tap"", ""x"": 0.75, ""y"": 0.085}",D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\09_M0_MarkorCreateNote_seed20260726\step_009_before.png,D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\09_M0_MarkorCreateNote_seed20260726\step_010_before.png,yes,yes,yes,yes,no,yes,The requested note text is plainly visible and supports saving.
R009,method_dev_g6_g7_v15_20260724_12_M0_ExpenseDeleteSingle_seed20260729_a1,M0,ExpenseDeleteSingle,22,6,m_0005,episodic_fact,FACT,observed,0.73617212,0.75262294,True,Delete the following expenses from pro expense: Educational.,The Home screen of the Pro Expense app is visible with totals and weekly expenses.,Tap the menu icon to access the expense list and verify deletion of the 'Educational' expense.,"{""type"": ""tap"", ""x"": 0.7, ""y"": 0.18}",D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\12_M0_ExpenseDeleteSingle_seed20260729\step_005_before.png,D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\12_M0_ExpenseDeleteSingle_seed20260729\step_006_before.png,yes,yes,yes,yes,no,yes,The home screen is visibly current and supports opening the expense list for verification.
R010,method_dev_g6_g7_v15_20260724_09_M0_MarkorCreateNote_seed20260726_a1,M0,MarkorCreateNote,43,10,m_0010,episodic_fact,FACT,observed,0.7739499,0.75262294,True,Create a new note in Markor named gentle_bear_copy.md with the following text: A quick brown fox.,The note contains the text 'A quick brown fox'.,Tap the save icon to persist the note with current filename and content.,"{""type"": ""tap"", ""x"": 0.75, ""y"": 0.085}",D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\09_M0_MarkorCreateNote_seed20260726\step_009_before.png,D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\09_M0_MarkorCreateNote_seed20260726\step_010_before.png,yes,yes,yes,yes,no,yes,The exact requested text is visible in the current note.
R011,method_dev_g6_g7_v15_20260724_13_M0_MarkorAddNoteHeader_seed20260730_a1,M0,MarkorAddNoteHeader,32,8,m_0006,episodic_fact,HYPOTHESIS,observed,0.48599303,0.54798374,False,"Update the Markor note proud_mouse_2023_10_01.md by adding the following text, along with a new blank line before the existing content: ""KDwVpswoRpRDyzZy2EOc"", and rename it to copy_sharp_jelly.txt.",The Markor note editor is visible with a three-dot menu icon in the top bar.,Tap outside the menu to close the file settings overlay and return to the editor.,"{""type"": ""tap"", ""x"": 0.72, ""y"": 0.08}",D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\13_M0_MarkorAddNoteHeader_seed20260730\step_006_before.png,D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\13_M0_MarkorAddNoteHeader_seed20260730\step_008_before.png,yes,yes,,yes,no,yes,The editor/menu context is plausible and guides closing the overlay before continuing.
R012,method_dev_g6_g7_v15_20260724_09_M0_MarkorCreateNote_seed20260726_a1,M0,MarkorCreateNote,38,9,m_0009,episodic_fact,HYPOTHESIS,observed,0.5439499,0.55262294,False,Create a new note in Markor named gentle_bear_copy.md with the following text: A quick brown fox.,The note contains the text 'A quick brown fox'.,Tap the save icon to save the note with the current filename and content.,"{""type"": ""tap"", ""x"": 0.75, ""y"": 0.085}",D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\09_M0_MarkorCreateNote_seed20260726\step_008_before.png,D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\09_M0_MarkorCreateNote_seed20260726\step_009_before.png,yes,yes,,yes,no,yes,"The text hypothesis is plausible, visually verifiable, and supports the save action."
R013,method_dev_g6_g7_v15_20260724_05_S0_FilesMoveFile_seed20260727_a1,S0,FilesMoveFile,27,11,m_0009,episodic_fact,HYPOTHESIS,observed,0.5017825,0.54798374,True,Move the file sci_fi_book.mp3 from Movies within the sdk_gphone_x86_64 storage area to the Audiobooks within the same sdk_gphone_x86_64 storage area in the Android filesystem.,The sci_fi_book.mp3 file is selected.,Tap the 'Move to...' option in the context menu to proceed with moving the selected file.,"{""type"": ""tap"", ""x"": 0.675, ""y"": 0.343}",D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\05_S0_FilesMoveFile_seed20260727\step_009_before.png,D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\05_S0_FilesMoveFile_seed20260727\step_011_before.png,yes,yes,,yes,no,yes,The selected file state is visible and supports choosing Move to.
R014,method_dev_g6_g7_v15_20260724_08_M0_ExpenseAddSingle_seed20260725_a1,M0,ExpenseAddSingle,17,5,m_0003,episodic_fact,HYPOTHESIS,observed,0.52167724,0.62798374,True,"Add the following expenses into the pro expense:
name|amount_dollars|category_name|note
Textbooks|$15.28|Education|A need",The Name field contains 'Textbooks'.,Enter 'A need' into the active Note field to complete the note requirement.,"{""clear_text"": true, ""text"": ""A need"", ""type"": ""type_text"", ""x"": 0.5, ""y"": 0.445}",D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\08_M0_ExpenseAddSingle_seed20260725\step_003_before.png,D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\08_M0_ExpenseAddSingle_seed20260725\step_005_before.png,yes,yes,,yes,no,yes,The entered name is visible and provides useful progress context for completing the note field.
R015,method_dev_g6_g7_v15_20260724_09_M0_MarkorCreateNote_seed20260726_a1,M0,MarkorCreateNote,19,6,m_0005,episodic_fact,HYPOTHESIS,observed,0.5759499,0.63262294,True,Create a new note in Markor named gentle_bear_copy.md with the following text: A quick brown fox.,The note contains the text 'A quick brown fox'.,Tap the save icon to save the note with the current filename and content.,"{""type"": ""tap"", ""x"": 0.75, ""y"": 0.085}",D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\09_M0_MarkorCreateNote_seed20260726\step_005_before.png,D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\09_M0_MarkorCreateNote_seed20260726\step_006_before.png,yes,yes,,yes,no,yes,The note-content hypothesis is directly verifiable and supports saving.
R016,method_dev_g6_g7_v15_20260724_06_M0_ContactsAddContact_seed20260723_a1,M0,ContactsAddContact,36,9,m_0008,episodic_fact,HYPOTHESIS,observed,0.53567212,0.63262294,False,Create a new contact for Ian Zhang. Their number is +15180612698.,The contact Ian Zhang has been saved.,Wait for the system to stabilize after tapping Save to observe the outcome.,"{""duration_ms"": 1000, ""type"": ""wait""}",D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\06_M0_ContactsAddContact_seed20260723\step_008_before.png,D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\06_M0_ContactsAddContact_seed20260723\step_009_before.png,yes,yes,,yes,no,yes,"A save outcome is a reasonable hypothesis while the form is transiently disabled, so waiting to verify is appropriate."
R017,method_dev_g6_g7_v15_20260724_09_M0_MarkorCreateNote_seed20260726_a1,M0,MarkorCreateNote,30,8,m_0005,episodic_fact,HYPOTHESIS,observed,0.56327689,0.6235708,True,Create a new note in Markor named gentle_bear_copy.md with the following text: A quick brown fox.,The note contains the text 'A quick brown fox'.,Tap the save icon to save the note with the current filename and content.,"{""type"": ""tap"", ""x"": 0.75, ""y"": 0.085}",D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\09_M0_MarkorCreateNote_seed20260726\step_005_before.png,D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\09_M0_MarkorCreateNote_seed20260726\step_008_before.png,yes,yes,,yes,no,yes,The current editor verifies the text hypothesis and supports saving.
R018,method_dev_g6_g7_v15_20260724_10_M0_FilesMoveFile_seed20260727_a1,M0,FilesMoveFile,81,11,m_0010,episodic_fact,HYPOTHESIS,observed,0.50965038,0.55262294,True,Move the file sci_fi_book.mp3 from Movies within the sdk_gphone_x86_64 storage area to the Audiobooks within the same sdk_gphone_x86_64 storage area in the Android filesystem.,The 'Move to...' operation has been initiated for sci_fi_book.mp3.,Tap on 'Move to...' to initiate moving the selected file to a new location.,"{""type"": ""tap"", ""x"": 0.67, ""y"": 0.344}",D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\10_M0_FilesMoveFile_seed20260727\step_010_before.png,D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\10_M0_FilesMoveFile_seed20260727\step_011_before.png,yes,yes,,yes,no,yes,The selected-file menu makes the initiated-move hypothesis plausible and actionable.
R019,method_dev_g6_g7_v15_20260724_05_S0_FilesMoveFile_seed20260727_a1,S0,FilesMoveFile,24,10,m_0009,episodic_fact,HYPOTHESIS,observed,0.50827738,0.55262294,True,Move the file sci_fi_book.mp3 from Movies within the sdk_gphone_x86_64 storage area to the Audiobooks within the same sdk_gphone_x86_64 storage area in the Android filesystem.,The sci_fi_book.mp3 file is selected.,Tap the three-dot menu icon to access additional actions for the selected file.,"{""type"": ""tap"", ""x"": 0.938, ""y"": 0.083}",D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\05_S0_FilesMoveFile_seed20260727\step_009_before.png,D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\05_S0_FilesMoveFile_seed20260727\step_010_before.png,yes,yes,,yes,no,yes,The file is visibly selected and the memory guides opening additional actions.
R020,method_dev_g6_g7_v15_20260724_03_S0_ExpenseAddSingle_seed20260725_a1,S0,ExpenseAddSingle,1,2,m_0001,episodic_fact,HYPOTHESIS,observed,0.49017212,0.55262294,True,"Add the following expenses into the pro expense:
name|amount_dollars|category_name|note
Textbooks|$15.28|Education|A need",The Home screen of the Pro Expense app is visible.,Wait for the screen to stabilize after the tap action.,"{""duration_ms"": 1000, ""type"": ""wait""}",D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\03_S0_ExpenseAddSingle_seed20260725\step_001_before.png,D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\03_S0_ExpenseAddSingle_seed20260725\step_002_before.png,yes,yes,,yes,no,yes,The restored home screen provides useful post-action stabilization context.
R021,method_dev_g6_g7_v15_20260724_04_S0_MarkorCreateNote_seed20260726_a1,S0,MarkorCreateNote,4,3,m_0001,page_hint,HYPOTHESIS,observed,0.48128391,0.54981163,False,Create a new note in Markor named gentle_bear_copy.md with the following text: A quick brown fox.,The Markor app is currently loading.,Tap the red plus button to initiate creating a new note.,"{""type"": ""tap"", ""x"": 0.89, ""y"": 0.86}",D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\04_S0_MarkorCreateNote_seed20260726\step_001_before.png,D:\ZJU\Summer_Camp\RAVEN-M-Research\runs\method_dev_g6_g7\method_dev_g6_g7_v15_20260724\episodes\04_S0_MarkorCreateNote_seed20260726\step_003_before.png,yes,no,,no,no,no,"The current screenshot is fully loaded, so the claim that Markor is currently loading is stale and does not guide the plus-button action."
