"work","year","venue_status","memory_scope","training","representation","verification_or_update","benchmark","closest_overlap","raven_m_boundary"
"PG-Agent","2025","ACM MM","cross-page/app","unspecified in matrix","Page Graph","graph construction and retrieval","mobile GUI benchmarks","structured page navigation","bounded episode-local Page-State Index only"
"HAR-GUI","2026","AAAI","trajectory history","SFT and hybrid RL","reflective scenario and action summaries","correction guideline","GUI benchmarks","history-aware reasoning","fixed Qwen checkpoint and external memory"
"ProBench","2026","AAAI","process evidence","none for evaluator","process provider","accurate process information","mobile tasks","process-aware evaluation","reuse analysis ideas; no new benchmark claim"
"MP-GUI","2025","CVPR","current GUI perception","trained perceivers","graphical textual spatial features","fusion gate","GUI understanding","perception-memory boundary","no trained perception component"
"LAMO","2026","ACL Findings","role-local context","SFT and RL","multi-role orchestration","cooperative exploration","static and online GUI","planner/executor roles","one fixed endpoint; roles independently logged and ablated"
"HyMEM","2026","ACL Findings","long-term hybrid","trained components","symbolic and continuous graph","self-evolving update","computer use","hybrid graph memory","no latent encoder or global graph"
"MAGNET","2026","ACL","cross-task evolving","method-specific","stationary and procedural dual memory","access-driven evolution","AndroidWorld","memory evolution and UI change","episode-local evidence lifecycle; no UI-shift claim"
"UI-Copilot","2026","ACL","history retrieval","learned policy","memory/calculator copilots","learned invocation","AndroidWorld and MemGUI-Bench","toolized memory","deterministic routing and matched calls"
"D-Artemis","2026","ACL Findings","app-specific tips","training-free","retrieved tips plus critic","pre/post correction","AndroidWorld","training-free critic system","provenance lifecycle and harm metrics"
"Darwinian Memory","2026","arXiv preprint","cross-trajectory units","training-free","decomposed experience units","utility natural selection and pruning","multi-app GUI","self-regulating stale/high-risk memory","no novelty claim for pruning; focus explicit evidence states"
"EchoTrail-GUI","2026","CVPR Findings","successful trajectories","exploration plus reward model","trajectory database","critic/reward validation","AndroidWorld and AndroidLab","validated experience retrieval","no cross-Hard retrieval; item-level within-episode evidence"
"CES","2026","CVPR","task state","execution-feedback RL","Coordinator Executor State Tracker","state compression/update","long-horizon GUI","role orchestration and state memory","fixed model; deterministic memory manager; matched budget"
"Executable Agentic Memory","2026","arXiv preprint","cross-task routines","Q model","structured KG and action groups","value-guided MCTS","AndroidWorld","executable structured memory","no MCTS or executable KG"
"MemGUI-Bench","2026","arXiv preprint","cross-temporal/cross-session","evaluation only","memory taxonomy","hierarchical evaluation","128 tasks 26 apps","memory metrics","diagnostic inspiration; no benchmark contribution"
"ExpAct","2026","ICML","long-term structural/procedural","experience construction","widget relations and subtask procedures","completion and refinement","AndroidWorld","experience evolution","procedural reuse remains optional non-Hard extension"
