paper_id,priority,title,year,status,primary_url,pdf_url,code_url,local_filename,project_relation,verification
P001,P0,AndroidWorld: A Dynamic Benchmarking Environment for Autonomous Agents,2025,ICLR Poster,https://openreview.net/forum?id=il5yUQsrjC,https://arxiv.org/pdf/2405.14573,https://github.com/google-research/android_world,01_AndroidWorld.pdf,Core benchmark,verified_primary
P002,P0,PG-Agent: An Agent Powered by Page Graph,2025,ACM MM,https://doi.org/10.1145/3746027.3755189,https://zhoushengisnoob.github.io/papers/MM2025.pdf,https://github.com/chenwz-123/PG-Agent,02_PG-Agent.pdf,Highest direct lab overlap,verified_cross_source
P003,P0,History-Aware Reasoning for GUI Agents,2026,AAAI,https://ojs.aaai.org/index.php/AAAI/article/view/40966,https://ojs.aaai.org/index.php/AAAI/article/view/40966/44927,https://github.com/BigTaige/HAR-GUI,03_HAR-GUI.pdf,History-aware trained comparator,verified_primary
P004,P0,ProBench: Benchmarking GUI Agents with Accurate Process Information,2026,AAAI,https://ojs.aaai.org/index.php/AAAI/article/view/39974,https://ojs.aaai.org/index.php/AAAI/article/view/39974/43935,,04_ProBench.pdf,Process evaluation and failure analysis,verified_primary
P005,P0,MP-GUI: Modality Perception with MLLMs for GUI Understanding,2025,CVPR,https://openaccess.thecvf.com/content/CVPR2025/html/Wang_MP-GUI_Modality_Perception_with_MLLMs_for_GUI_Understanding_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Wang_MP-GUI_Modality_Perception_with_MLLMs_for_GUI_Understanding_CVPR_2025_paper.pdf,https://github.com/BigTaige/MP-GUI,05_MP-GUI.pdf,Perception-memory boundary,verified_primary
P006,P0,Towards Scalable Lightweight GUI Agents via Multi-role Orchestration,2026,Findings ACL,https://aclanthology.org/2026.findings-acl.1122/,https://aclanthology.org/2026.findings-acl.1122.pdf,https://github.com/BigTaige/LAMO,06_LAMO.pdf,Role-orchestration overlap,verified_primary
P007,P0,Hybrid Self-evolving Structured Memory for Computer-Use Agents,2026,Findings ACL,https://aclanthology.org/2026.findings-acl.549/,https://aclanthology.org/2026.findings-acl.549.pdf,,07_HyMEM.pdf,Hybrid graph memory nearest neighbor,verified_primary
P008,P0,MAGNET: Towards Adaptive GUI Agents with Memory-Driven Knowledge Evolution,2026,ACL Long,https://aclanthology.org/2026.acl-long.1299/,https://aclanthology.org/2026.acl-long.1299.pdf,,08_MAGNET.pdf,AndroidWorld dual-memory nearest neighbor,verified_primary
P009,P0,UI-Copilot: Advancing Long-Horizon GUI Automation via Tool-Integrated Policy Optimization,2026,ACL Long,https://aclanthology.org/2026.acl-long.904/,https://aclanthology.org/2026.acl-long.904.pdf,,09_UI-Copilot.pdf,Memory decoupling and tool-call confound,verified_primary
P010,P0,D-Artemis: A Deliberative Cognitive Framework for Mobile GUI Multi-Agents,2026,Findings ACL,https://aclanthology.org/2026.findings-acl.681/,https://aclanthology.org/2026.findings-acl.681.pdf,,10_D-Artemis.pdf,Closest training-free multi-agent system,verified_primary
P011,P0,"Remember Me, Refine Me: A Dynamic Procedural Memory Framework for Experience-Driven Agent Evolution",2026,Findings ACL,https://aclanthology.org/2026.findings-acl.829/,https://aclanthology.org/2026.findings-acl.829.pdf,,11_ReMe.pdf,Procedural memory lifecycle,verified_primary
P012,P0,Mobile-Agent-v2: Mobile Device Operation Assistant with Effective Navigation via Multi-Agent Collaboration,2024,NeurIPS,https://proceedings.neurips.cc/paper_files/paper/2024/hash/0520537ba799d375b8ff5523295c337a-Abstract-Conference.html,https://arxiv.org/pdf/2406.01014,https://github.com/X-PLUG/MobileAgent,12_Mobile-Agent-v2.pdf,Planner decision reflection memory reference; PDF uses author arXiv copy because NeurIPS TLS failed locally,verified_cross_source
P013,P0,ChartAccessMobile: An Intelligent System for Accessible Chart Navigation on Mobile Applications,2026,W4A,https://zhoushengisnoob.github.io/,https://zhoushengisnoob.github.io/papers/W4A2026-1.pdf,,13_ChartAccessMobile.pdf,Direct lab alignment and inspectable mobile interaction,verified_primary
